Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","195","Senegal","6132","Value","210011","Number of people undernourished (million) (3-year average)","20112013","2011-2013","millions","1.2","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6132","Value","210011","Number of people undernourished (million) (3-year average)","20122014","2012-2014","millions","1.4","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6132","Value","210011","Number of people undernourished (million) (3-year average)","20132015","2013-2015","millions","1.6","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6132","Value","210011","Number of people undernourished (million) (3-year average)","20142016","2014-2016","millions","1.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6132","Value","210011","Number of people undernourished (million) (3-year average)","20152017","2015-2017","millions","1.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6132","Value","210011","Number of people undernourished (million) (3-year average)","20162018","2016-2018","millions","1.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","millions","1.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20142016","2014-2016","millions","2.1","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20152017","2015-2017","millions","2.4","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20162018","2016-2018","millions","2.4","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20172019","2017-2019","millions","2.6","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6132","Value","210081","Number of moderately or severely food insecure people (million) (3-year average)","20142016","2014-2016","millions","5.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6132","Value","210081","Number of moderately or severely food insecure people (million) (3-year average)","20152017","2015-2017","millions","6.1","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6132","Value","210081","Number of moderately or severely food insecure people (million) (3-year average)","20162018","2016-2018","millions","6","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6132","Value","210081","Number of moderately or severely food insecure people (million) (3-year average)","20172019","2017-2019","millions","6.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20002002","2000-2002","%","53.1","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20012003","2001-2003","%","58","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20022004","2002-2004","%","58","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20032005","2003-2005","%","58.1","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20042006","2004-2006","%","54.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20052007","2005-2007","%","58.8","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20062008","2006-2008","%","58.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20072009","2007-2009","%","57.4","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20082010","2008-2010","%","51","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20092011","2009-2011","%","47.9","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20102012","2010-2012","%","51.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20112013","2011-2013","%","56.2","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20122014","2012-2014","%","59.8","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20132015","2013-2015","%","56","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20142016","2014-2016","%","52.8","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20152017","2015-2017","%","51.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20002002","2000-2002","%","51","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20012003","2001-2003","%","54","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20022004","2002-2004","%","55","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20032005","2003-2005","%","57","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20042006","2004-2006","%","60","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20052007","2005-2007","%","65","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20062008","2006-2008","%","73","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20072009","2007-2009","%","69","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20082010","2008-2010","%","61","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20092011","2009-2011","%","55","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20102012","2010-2012","%","57","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20112013","2011-2013","%","58","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20122014","2012-2014","%","56","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20132015","2013-2015","%","51","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20142016","2014-2016","%","48","F","FAO estimate",""
"FS","Suite of Food Security Indicators","195","Senegal","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20152017","2015-2017","%","48","F","FAO estimate",""
