,asap0_id,asap0_name,date,hs_code,hs_name,comment,g1_w_crop,g1_w_range,g1_w_any
913,82,Senegal,2019-10-11,1,Hotspot,"Harvesting of the 2019 coarse grain crops (maize, millet and sorghum) is ongoing and production is estimated average, in spite of a delayed start of rains coupled with irregular rainfall, high temperatures and periods of dry spells in Northern and Central parts of Senegal. The negative impact of drought have been mitigated by a farmer support program applied by the Government. Moreover, weather conditions have improved at the end of the season due to close to average rainfall received since September that has partly reduced the negative effect of water deficits.   Pastoral conditions are negatively affected by a consecutive unfavorable rainy season that has led to well-below average biomass production with cumulated NDVI deficits observed in the northern regions, particularly in Louga, Matam, Saint-Louis, Kolack, Diourbel and Kaffrine. High-resolution Sentinel-2 imagery (NDVI difference between 15th September-15th October 2019 and 2018) shows areas with particularly low vegetation development in Fatick: <u>[https://mars.jrc.ec.europa.eu/asap/s/87290f8e][ https://mars.jrc.ec.europa.eu/asap/s/87290f8e]https://mars.jrc.ec.europa.eu/asap/s/87290f8e</a></u>",11,8,12
994,82,Senegal,2019-09-11,1,Hotspot,"Despite improved rainfall between end of August and mid-September across agricultural areas in central and western parts of the country, crop conditions remain below-average. The insufficient rains at the start of the cropping season delayed planting activities of coarse grains and the seasonal cumulative rainfall remains 10-20% below-average. Continuation of the rains in the following weeks is needed to allow crops to reach full maturity, although the degree of crop recovery from the long drought is not clear. Pastoral conditions in the northern and central parts of the country are also showing below-average conditions, despite some rainfall received since the end of August. Grassland conditions in northern Senegal are at the lowest level of biomass production in the last 20 years ([http://www.fao.org/3/ca6057en/ca6057en.pdf] Crop Prospects and Food Situation-FAO. The limited rainfall received from the start of the season until mid-August coupled with above-average temperatures in some areas (e.g. 2-3o C in Matam from June until mid-August) are lowering pastoral vegetation productivity, threatening to negatively impact livestock productivity, a key sector of food security in the area.",14,9,14
1075,82,Senegal,2019-08-11,1,Hotspot,"Planting in Senegal is delayed by over one month and the country has experienced only limited rainfall until mid August (below 50% of normal in the north and north/east). Only in the last dekad of August there has been improved rain in the central and western parts of the country, but it is unclear to what degree crops will be able to recover after the long dry period. Below average yields in the majority of the country are likely and local newspapers do not exclude a strong deterioration of the food security situation. Pastoral vegetation does also appear exceptionally dry and rapid vegetation depletion can be expected if rainfall does not improve quickly.  see for example: [http://www.rewmi.com/2019/08/23/retard-pluviometrique-les-cultures-se-meurent-la-famine-se-precise/]http://www.rewmi.com/2019/08/23/retard-pluviometrique-les-cultures-se-meurent-la-famine-se-precise/</a>",14,9,14
1156,82,Senegal,2019-07-11,1,Hotspot,"A delay in rainfall onset of approx. one month is delaying planting in the central and northern agricultural areas of the country. In the southern part planting has taken place in June, but crop areas and growth are also negatively affected by rainfall deficits between 30 and 50%. Rainfall improvements in the coming months will be crucial for planting in the center/north of the country. June/September seasonal rainfall foreasts released in June point to a below average rainy season with high risk of low crop production.",14,9,14
1237,82,Senegal,2019-06-11,0,No hotspot,A slight delay in the onset of the rainy season is visible in the very southern belt of Senegal.,4,2,5
1317,82,Senegal,2019-05-11,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0
1397,82,Senegal,2019-04-11,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0
1477,82,Senegal,2019-03-11,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0
1557,82,Senegal,2019-02-11,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0
1637,82,Senegal,2019-01-11,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0
1717,82,Senegal,2018-12-21,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0
1797,82,Senegal,2018-11-11,0,No hotspot,The main season is over in Senegal and crop production is reported close to average by FAO thanks to positive rainfall in the second part of the season. In the northern part of the country below average biomass conditions affecting mainly pastoral productivity can still be observed in parts of Matam and St. Louis.,2,2,3
1877,82,Senegal,2018-10-11,1,Hotspot,"Harvest is almost complete in Senegal and production prospects are below average mainly in the central and northern areas, due to dry conditions in the early stages of the season. The situation has improved, especially in the western part of the country due to close to average rainfall received in August and September, but still rain-fed crops and pastoral vegetation are suffering the impact of below average cumulated rainfall.",13,11,13
1957,82,Senegal,2018-09-11,1,Hotspot,"Despite increased rainfall in the second dekad of August and in first dekad of September, seasonal cumulated rainfall remains below average in north western Senegal. This is the second deficit season in a row for provinces including Louga, Thies and Diourbel and is expected to lower rain-fed crops yield and pastoral vegetation productivity.",10,9,10
2037,82,Senegal,2018-08-11,1,Hotspot,"After a timely onset of the rainy season, the northern and central parts of the country have experienced major rainfall deficits in late July and in August, whith total cumulated rainfall so far between 30% and 50% of the seasonal mean. Agricultural and pastoral vegetation conditions are significantly below average in a large area including: Louga, Thies, and Diourbel provinces.",13,11,13
2117,82,Senegal,2018-07-11,0,No hotspot,"Crop conditions in the southern part of Senegal have partially recovered after a delayed start of the season. Some concern remains due to below average cumulated rainfall. Nevertheless, given the early stage of the season there is clearly room for improvement if favorable rains continue in the next months. The north of the country experience a timely onset and close to average rain amounts.",6,4,9
2197,82,Senegal,2018-06-11,0,No hotspot,The onset of the rainy season is slightly delayed in southern Senegal and monitoring of the coming dekads will be relevant for a good start of the growing season. Parts of northern Senegal are still dealing with the negative effects of the 2017 drought that affected mainly pastoral areas.,3,2,4
2277,82,Senegal,2018-05-11,0,No hotspot,"The main rainy season is expected to start in June, while the food security situation in the country is still affected by the 2017 drought (affecting mainly the northern part of the country) which led to early depletion of pastoral vegetation and increased food prices.",0,1,1
2357,82,Senegal,2018-04-11,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0
2437,82,Senegal,2018-03-11,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0
2516,82,Senegal,2018-02-11,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0
2595,82,Senegal,2018-01-11,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0
2674,82,Senegal,2017-12-21,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0
2753,82,Senegal,2017-11-11,1,Hotspot,"The northern part of Senegal has experienced dry conditions for the 2017 growing season leading to below average biomass production affecting mainly pastoral areas in the 3 northern regions of St. Luois, Matam and Louga.",13,9,13
2832,82,Senegal,2017-10-11,0,No hotspot,"Dry conditions are still affecting pastoral areas in Northern Senegal and to a minor extent crops (mainly in St. Louis, Matam). Pastoral areas are concerned by low vegetation productivity in the eastern part of Louga and in most of St.Luois and Matam.",8,5,9
2911,82,Senegal,2017-09-11,0,No hotspot,"Dry conditions are still affecting pastoral areas in Northern Senegal and to a minor extent crops (mainly in St. Louis, Matam). Pastoral areas only in Louga.",8,9,9
2990,82,Senegal,2017-08-11,0,No hotspot,Dry conditions in July and early August caused a delay in the start of the crop season in parts of Saint Louis and Louga regions. Meanwhile the southern part of the country has experienced exceptional rainfall and flooding.,7,6,8
3069,82,Senegal,2017-07-11,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,3,0,3
3148,82,Senegal,2017-06-11,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0
3227,82,Senegal,2017-05-11,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0
3306,82,Senegal,2017-04-11,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,3,3
3385,82,Senegal,2017-03-11,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0
3464,82,Senegal,2017-02-11,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,3,3
3543,82,Senegal,2017-01-11,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,3,3
3622,82,Senegal,2016-12-01,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,3,3
3701,82,Senegal,2016-11-11,0,No hotspot,"No hotspot at national level, but some low vegetation performance visible in Tambacounda.",1,0,1
3780,82,Senegal,2016-10-11,0,No hotspot,"NDVI deficits in some regions (Tambacounda and Kedougu) suggesting shorter than normal crop season, but not major. SPI3 generally positive, while deterioration visible over last month. In the western parts of the country the season has started with a clear delay but seems to have fully recovered.",11,9,11
